 [ 4.69136014 52.48478975]
 [ 5.41690934 51.90028259]
 [ 6.74833084 53.17164384]
 [ 4.64717002 51.76676065]
 [ 5.94388116 51.15088149]
 [ 6.43991081 52.2557067 ]
 [ 4.38398299 51.87676971]
 [ 5.09745983 52.32343002]
 [ 5.11385736 51.54382592]
 [ 5.73670575 52.68128447]
 [ 5.93114134 52.03797039]
 [ 5.93010812 52.9673928 ]
 [ 5.16124277 52.14649154]
 [ 3.68005064 51.49822664]
 [ 4.36342634 51.50710288]
 [ 6.55058948 52.28386255]
 [ 6.11590584 52.52653717]
 [ 4.65469402 52.0223182 ]
 [ 5.49813631 51.40427758]
 [ 4.64014793 51.7496089 ]
 [ 5.94909369 51.66243747]
 [ 4.89046992 51.71964826]
 [ 5.34838317 52.06555278]
 [ 5.59130982 52.16852705]
 [ 5.76706551 51.97129398]
 [ 5.21408784 53.02402607]
 [ 4.58512668 51.96517617]
 [ 4.50408288 52.04522757]
 [ 4.99009869 52.5971418 ]
 [ 4.96786985 52.39026832]
 [ 5.78553345 50.99041388]
 [ 5.09728838 51.84331851]
 [ 4.33405242 52.03501558]
 [ 6.15947033 51.92750106]
 [ 5.31499882 51.3690337 ]
 [ 5.31885933 51.67073174]
 [ 5.8213871  52.37524244]
 [ 4.48290311 51.53654277]
 [ 4.81863698 52.38457343]
 [ 6.09220806 53.09160091]
 [ 5.30536773 52.37756408]
 [ 6.44826915 52.77100175]
 [ 5.62490303 51.75670605]
 [ 4.56458883 52.16931414]
 [ 6.00718564 52.18378784]
 [ 4.61744204 51.55347888]
 [ 6.96694054 52.73502419]
